Building ID,Building ID [filename],Thermal class,Thermal class index,Thermal capacitance [J/m2K],Annual Solar Gains [kWh],Annual Heating Demand Sim [kWh],Annual Cooling Demand Sim [kWh],Heated area [m2],Internal gains [W/m2],Usage type,Window area [m2],Heated area [m2]_snapshot,Heated volume [m3],U walls [W/m2K],U windows [W/m2K],Window-to-Wall ratio [-],GMLId,compactness,BuildingType,usage_type,building_type,annual_heat_kwh,heated_area_m2,heated_volume_m3,window_area_m2,u_walls_w_m2k,u_windows_w_m2k,window_to_wall,window_to_heated,is_outlier
DEBW_52210003qpi,DEBW_52210003qpi,medium,3,165000,28340.578434133105,42996.46238196393,4297.389238632841,568.6,4.2,residential,102.26,568.6,1776.7,0.7394080640549041,2.5700000000000003,0.201295250093502,DEBW_52210003qpi,2.5510204081632653,MFH,residential,MFH,42996.46238196393,568.6,1776.7,102.26,0.7394080640549041,2.5700000000000003,0.201295250093502,0.17984523390784382,False
DEBW_52210003qta,DEBW_52210003qta,medium,3,165000,16659.559802218177,22458.55867198854,2619.789087688251,219.5,4.2,residential,58.21,219.5,686.1,0.70296945036081,2.5700000000000003,0.2133172090296101,DEBW_52210003qta,1.6920473773265652,MFH,residential,MFH,22458.55867198854,219.5,686.1,58.21,0.70296945036081,2.5700000000000003,0.2133172090296101,0.26519362186788153,False
DEBW_52210003qwF,DEBW_52210003qwF,medium,3,165000,17668.100841307136,24435.537966465417,2825.795966507761,260.9,4.2,residential,61.400000000000006,260.9,815.3,0.6974920008372956,2.57,0.215415921131109,DEBW_52210003qwF,1.858736059479554,MFH,residential,MFH,24435.537966465417,260.9,815.3,61.400000000000006,0.6974920008372956,2.57,0.215415921131109,0.23533921042545042,False
DEBW_52210003rFb,DEBW_52210003rFb,medium,3,165000,22378.36391617977,33842.462369815024,3759.619000296496,530.3,4.2,residential,77.08,530.3,1657.2,0.6839147485877025,2.5699999999999994,0.2208532706799232,DEBW_52210003rFb,2.73972602739726,MFH,residential,MFH,33842.462369815024,530.3,1657.2,77.08,0.6839147485877025,2.5699999999999994,0.2208532706799232,0.14535168772392987,False
DEBW_52210003rIo,DEBW_52210003rIo,medium,3,165000,17089.312631105626,17312.674352058024,3282.605510501301,166.8,4.2,residential,58.42,166.8,521.1,0.6588679914833216,2.57,0.3117229603543033,DEBW_52210003rIo,1.6,RH,residential,RH,17312.674352058024,166.8,521.1,58.42,0.6588679914833216,2.57,0.3117229603543033,0.3502398081534772,False
DEBW_52210003rgE,DEBW_52210003rgE,medium,3,165000,9416.582380631213,13907.861686459362,1403.1938757051616,117.3,4.2,residential,31.100000000000005,117.3,366.4,0.6860570951895447,2.5699999999999994,0.1837735626071027,DEBW_52210003rgE,1.3888888888888888,EFH,residential,EFH,13907.861686459362,117.3,366.4,31.100000000000005,0.6860570951895447,2.5699999999999994,0.1837735626071027,0.26513213981244677,False
DEBW_52210003sTZ,DEBW_52210003sTZ,medium,3,165000,14395.95700949853,22930.08828828091,1986.846500660215,221.4,4.2,residential,49.49,221.4,692.0,0.7136205094514289,2.57,0.1724810929494998,DEBW_52210003sTZ,1.567398119122257,EFH,residential,EFH,22930.08828828091,221.4,692.0,49.49,0.7136205094514289,2.57,0.1724810929494998,0.22353206865401987,False
DEBW_52210003sUv,DEBW_52210003sUv,medium,3,165000,10669.68089572593,11232.437527559474,2372.106810244056,153.1,4.2,residential,32.230000000000004,153.1,478.3,0.542589886999201,2.5699999999999994,0.3952176578786021,DEBW_52210003sUv,1.8975332068311195,RH,residential,RH,11232.437527559474,153.1,478.3,32.230000000000004,0.542589886999201,2.5699999999999994,0.3952176578786021,0.21051600261267148,False
DEBW_52210003snr,DEBW_52210003snr,medium,3,165000,20835.515750313934,28105.48575544373,3211.930596079464,266.4,4.2,residential,73.49000000000001,266.4,832.5,0.7115370101226448,2.57,0.2102537693474094,DEBW_52210003snr,1.6528925619834711,MFH,residential,MFH,28105.48575544373,266.4,832.5,73.49000000000001,0.7115370101226448,2.57,0.2102537693474094,0.2758633633633634,False
DEBW_52210003t47,DEBW_52210003t47,medium,3,165000,7543.008636106012,11038.066971217077,1132.7342385617658,67.9,4.2,residential,24.75,67.9,249.9,0.6689073797773442,2.57,0.1921136381277653,DEBW_52210003t47,1.2004801920768309,EFH,residential,EFH,11038.066971217077,67.9,249.9,24.75,0.6689073797773442,2.57,0.1921136381277653,0.3645066273932253,False
DEBW_52210003t7f,DEBW_52210003t7f,medium,3,165000,18710.03822067898,25295.264705916605,3137.273765448383,308.8,4.2,residential,61.07,308.8,965.1,0.6884173686083759,2.57,0.218975223206282,DEBW_52210003t7f,2.150537634408602,MFH,residential,MFH,25295.264705916605,308.8,965.1,61.07,0.6884173686083759,2.57,0.218975223206282,0.19776554404145077,False
DEBW_52210003tNq,DEBW_52210003tNq,medium,3,165000,21127.94686729649,28064.41488341326,3313.3125334533584,244.1,4.2,residential,75.65,244.1,762.8,0.7370221400318487,2.57,0.2020080643007824,DEBW_52210003tNq,1.5360983102918586,MFH,residential,MFH,28064.41488341326,244.1,762.8,75.65,0.7370221400318487,2.57,0.2020080643007824,0.30991396968455553,False
DEBW_52210003tQY,DEBW_52210003tQY,medium,3,165000,23476.909873796616,32128.028668007548,4094.5995120302896,449.8,4.2,residential,79.18,449.8,1405.5,0.6715952890792293,2.57,0.2262544290776089,DEBW_52210003tQY,2.1834061135371177,MFH,residential,MFH,32128.028668007548,449.8,1405.5,79.18,0.6715952890792293,2.57,0.2262544290776089,0.1760337927967986,False
DEBW_52210003u4h,DEBW_52210003u4h,medium,3,165000,12367.839371228323,18814.4640781899,2017.7288561003136,225.6,4.2,residential,45.25,225.6,704.9,0.6854541469052647,2.57,0.2202053627913767,DEBW_52210003u4h,2.0964360587002098,MFH,residential,MFH,18814.4640781899,225.6,704.9,45.25,0.6854541469052647,2.57,0.2202053627913767,0.20057624113475178,False
DEBW_52210003uBM,DEBW_52210003uBM,medium,3,165000,33952.09739256242,49517.98660881294,5322.329199082875,581.4,4.2,residential,118.66,581.4,1816.9,0.714608306628169,2.5699999999999994,0.2092178573947387,DEBW_52210003uBM,2.1459227467811157,MFH,residential,MFH,49517.98660881294,581.4,1816.9,118.66,0.714608306628169,2.5699999999999994,0.2092178573947387,0.204093567251462,False
DEBW_52210003uZg,DEBW_52210003uZg,medium,3,165000,22901.33461369509,31408.959787150437,3547.7406435940115,311.6,4.2,residential,81.04,311.6,973.9,0.7093663969011551,2.57,0.2110691496288579,DEBW_52210003uZg,1.7361111111111112,MFH,residential,MFH,31408.959787150437,311.6,973.9,81.04,0.7093663969011551,2.57,0.2110691496288579,0.2600770218228498,False
DEBW_52210003udj,DEBW_52210003udj,medium,3,165000,11265.263800452654,16938.295176963537,1593.371613757707,126.9,4.2,residential,38.58,126.9,396.6,0.7078527069760353,2.57,0.174649162516976,DEBW_52210003udj,1.2642225031605563,EFH,residential,EFH,16938.295176963537,126.9,396.6,38.58,0.7078527069760353,2.57,0.174649162516976,0.3040189125295508,False
DEBW_52210003uss,DEBW_52210003uss,medium,3,165000,15754.75188841754,30799.44500772481,2088.695481150524,426.3,4.2,residential,64.59,426.3,1332.1,0.7156873752495009,2.57,0.1799966558912049,DEBW_52210003uss,2.3696682464454977,MFH,residential,MFH,30799.44500772481,426.3,1332.1,64.59,0.7156873752495009,2.57,0.1799966558912049,0.15151301900070374,False
DEBW_52210003uzO,DEBW_52210003uzO,medium,3,165000,26190.21378234485,36190.5698837988,4166.660180170395,414.7,4.2,residential,93.45,414.7,1295.9,0.7095759999999998,2.57,0.2109861826063397,DEBW_52210003uzO,1.9342359767891681,MFH,residential,MFH,36190.5698837988,414.7,1295.9,93.45,0.7095759999999998,2.57,0.2109861826063397,0.22534362189534604,False
DEBW_52210003v4C,DEBW_52210003v4C,medium,3,165000,15409.671959263896,21241.802676261104,2440.639764377296,238.3,4.2,residential,65.47,238.3,744.7,0.7026825194846508,2.5700000000000003,0.2699905150727865,DEBW_52210003v4C,1.9120458891013383,RH,residential,RH,21241.802676261104,238.3,744.7,65.47,0.7026825194846508,2.5700000000000003,0.2699905150727865,0.27473772555602183,False
DEBW_52210003vBM,DEBW_52210003vBM,medium,3,165000,26658.487741032728,36469.307348524926,4101.141439268478,376.4,4.2,residential,95.45,376.4,1176.1,0.7262505513895015,2.57,0.2053438891637803,DEBW_52210003vBM,1.7699115044247788,MFH,residential,MFH,36469.307348524926,376.4,1176.1,95.45,0.7262505513895015,2.57,0.2053438891637803,0.25358660998937305,False
DEBW_52210003xIr,DEBW_52210003xIr,medium,3,165000,18623.346561472343,18557.963248015643,3723.165021019399,191.6,4.2,residential,62.14,191.6,598.6,0.6833834919229917,2.57,0.3027232425585814,DEBW_52210003xIr,1.7574692442882252,RH,residential,RH,18557.963248015643,191.6,598.6,62.14,0.6833834919229917,2.57,0.3027232425585814,0.324321503131524,False
DEBW_52210003xN2,DEBW_52210003xN2,medium,3,165000,25478.716960072896,35188.180799770416,3841.847523012467,317.1,4.2,residential,90.53,317.1,990.8,0.7359453898581164,2.57,0.2023468931604827,DEBW_52210003xN2,1.6501650165016502,MFH,residential,MFH,35188.180799770416,317.1,990.8,90.53,0.7359453898581164,2.57,0.2023468931604827,0.28549353516240933,False
DEBW_52210003xXe,DEBW_52210003xXe,medium,3,165000,37915.858843997004,52180.79221199412,6416.42396281247,697.5,4.2,residential,129.97,697.5,2179.6,0.716206145762269,2.5699999999999994,0.2086497246793276,DEBW_52210003xXe,2.1459227467811157,MFH,residential,MFH,52180.79221199412,697.5,2179.6,129.97,0.716206145762269,2.5699999999999994,0.2086497246793276,0.18633691756272402,False
DEBW_52210004EqD,DEBW_52210004EqD,medium,3,165000,21642.24188293275,30538.412051385607,3175.35550048417,299.0,4.2,residential,77.17,299.0,934.3,0.722566917478722,2.5699999999999994,0.2065301752977385,DEBW_52210004EqD,1.779359430604982,MFH,residential,MFH,30538.412051385607,299.0,934.3,77.17,0.722566917478722,2.5699999999999994,0.2065301752977385,0.25809364548494984,False
DEBW_52210004FOx,DEBW_52210004FOx,medium,3,165000,14731.339914417444,22558.263338506425,2117.952203691141,228.5,4.2,residential,50.14999999999999,228.5,714.2,0.71709400951621,2.57,0.1711545681034776,DEBW_52210004FOx,1.5503875968992247,EFH,residential,EFH,22558.263338506425,228.5,714.2,50.14999999999999,0.71709400951621,2.57,0.1711545681034776,0.21947483588621441,False
DEBW_52210004FT7,DEBW_52210004FT7,medium,3,165000,25090.56992586477,34023.2334130162,4221.001447498146,431.0,4.2,residential,86.58,431.0,1346.7,0.7006007669365146,2.57,0.2142379927251132,DEBW_52210004FT7,2.070393374741201,MFH,residential,MFH,34023.2334130162,431.0,1346.7,86.58,0.7006007669365146,2.57,0.2142379927251132,0.2008816705336427,False
DEBW_52210004Faf,DEBW_52210004Faf,medium,3,165000,19118.84636118211,25811.728684957547,2875.6023827584368,203.9,4.2,residential,69.17,203.9,637.3,0.7336179611921938,2.57,0.2030529869367386,DEBW_52210004Faf,1.4224751066856332,MFH,residential,MFH,25811.728684957547,203.9,637.3,69.17,0.7336179611921938,2.57,0.2030529869367386,0.3392349190779794,False
DEBW_52210004Fca,DEBW_52210004Fca,medium,3,165000,8128.757934979566,10749.721358746088,1334.4110464253806,74.2,4.2,residential,27.0,74.2,231.8,0.7066552418257982,2.57,0.1751767988062025,DEBW_52210004Fca,1.079913606911447,EFH,residential,EFH,10749.721358746088,74.2,231.8,27.0,0.7066552418257982,2.57,0.1751767988062025,0.36388140161725063,False
DEBW_52210004FnA,DEBW_52210004FnA,medium,3,165000,17123.095177791824,22892.8915173953,2640.755389961581,211.4,4.2,residential,59.92999999999999,211.4,660.5,0.6921515639723985,2.5700000000000003,0.2175080753456973,DEBW_52210004FnA,1.572327044025157,MFH,residential,MFH,22892.8915173953,211.4,660.5,59.92999999999999,0.6921515639723985,2.5700000000000003,0.2175080753456973,0.2834910122989593,False
DEBW_52210004G6k,DEBW_52210004G6k,medium,3,165000,22603.44115367924,30481.882213705205,3664.783133993253,349.6,4.2,residential,79.07000000000001,349.6,1092.5,0.7037518166049411,2.5699999999999994,0.213103708495041,DEBW_52210004G6k,1.8621973929236497,MFH,residential,MFH,30481.882213705205,349.6,1092.5,79.07000000000001,0.7037518166049411,2.5699999999999994,0.213103708495041,0.22617276887871854,False
DEBW_52210004GDQ,DEBW_52210004GDQ,medium,3,165000,20286.599282958166,29571.470309754317,3246.7330192517725,408.0,4.2,residential,72.53,408.0,1275.1,0.6983594343925801,2.57,0.2150438804554079,DEBW_52210004GDQ,2.34192037470726,MFH,residential,MFH,29571.470309754317,408.0,1275.1,72.53,0.6983594343925801,2.57,0.2150438804554079,0.17776960784313725,False
DEBW_52210004GPg,DEBW_52210004GPg,medium,3,165000,20642.57342615245,27492.53250461508,3578.548633058346,338.7,4.2,residential,67.59,338.7,1058.6,0.7038799012887305,2.5699999999999994,0.213016073116924,DEBW_52210004GPg,2.1834061135371177,MFH,residential,MFH,27492.53250461508,338.7,1058.6,67.59,0.7038799012887305,2.5699999999999994,0.213016073116924,0.19955713020372012,False
DEBW_52210004Gqv,DEBW_52210004Gqv,medium,3,165000,14020.93788902659,20301.819322619067,2124.05526460073,157.9,4.2,residential,45.35999999999999,157.9,493.3,0.7141923390383049,2.5700000000000003,0.1722749715153816,DEBW_52210004Gqv,1.2804097311139564,EFH,residential,EFH,20301.819322619067,157.9,493.3,45.35999999999999,0.7141923390383049,2.5700000000000003,0.1722749715153816,0.2872704243191893,False
DEBW_52210004H20,DEBW_52210004H20,medium,3,165000,56372.04317269,80675.56731446972,9976.740419078858,1241.4,4.2,residential,200.96,1241.4,3394.4,0.748788391040698,2.5700000000000003,0.1986025872888809,DEBW_52210004H20,2.34192037470726,MFH,residential,MFH,80675.56731446972,1241.4,3394.4,200.96,0.748788391040698,2.5700000000000003,0.1986025872888809,0.1618817464153375,True
DEBW_52210004HIN,DEBW_52210004HIN,medium,3,165000,23695.724016605127,26580.017323887663,4394.440023312823,286.3,4.2,residential,87.36000000000001,286.3,894.6,0.6920614316925845,2.5699999999999994,0.2999279019466475,DEBW_52210004HIN,1.8348623853211008,RH,residential,RH,26580.017323887663,286.3,894.6,87.36000000000001,0.6920614316925845,2.5699999999999994,0.2999279019466475,0.3051344743276284,False
DEBW_52210004HiD,DEBW_52210004HiD,medium,3,165000,25800.608173326254,35891.108021462314,4061.801543812143,400.2,4.2,residential,92.16,400.2,1250.6,0.7109607022392004,2.57,0.2104878494427188,DEBW_52210004HiD,1.858736059479554,MFH,residential,MFH,35891.108021462314,400.2,1250.6,92.16,0.7109607022392004,2.57,0.2104878494427188,0.2302848575712144,False
DEBW_52210004Hls,DEBW_52210004Hls,medium,3,165000,17096.667345514594,25505.98479778027,2612.4617908157347,275.0,4.2,residential,56.02,275.0,859.3,0.7230688857575838,2.57,0.1689384800965018,DEBW_52210004Hls,1.7857142857142856,EFH,residential,EFH,25505.98479778027,275.0,859.3,56.02,0.7230688857575838,2.57,0.1689384800965018,0.20370909090909092,False
DEBW_52210004HpC,DEBW_52210004HpC,medium,3,165000,21592.924268900068,29533.32559910604,3312.701521530249,288.0,4.2,residential,77.13,288.0,900.1,0.7193246829843702,2.57,0.2076401227588434,DEBW_52210004HpC,1.718213058419244,MFH,residential,MFH,29533.32559910604,288.0,900.1,77.13,0.7193246829843702,2.57,0.2076401227588434,0.2678125,False
DEBW_52210004HrR,DEBW_52210004HrR,medium,3,165000,28851.408519057008,39746.05791585837,4658.204648301892,466.7,4.2,residential,101.35,466.7,1458.4,0.715589958158996,2.57,0.2088441962537864,DEBW_52210004HrR,1.9305019305019304,MFH,residential,MFH,39746.05791585837,466.7,1458.4,101.35,0.715589958158996,2.57,0.2088441962537864,0.21716305978144418,False
DEBW_52210004HxR,DEBW_52210004HxR,medium,3,165000,17558.44389484232,23416.053404831026,2747.7112173499468,227.6,4.2,residential,60.64,227.6,711.1,0.6901030063480657,2.57,0.2182865370770338,DEBW_52210004HxR,1.6556291390728477,MFH,residential,MFH,23416.053404831026,227.6,711.1,60.64,0.6901030063480657,2.57,0.2182865370770338,0.2664323374340949,False
DEBW_52210004Hxc,DEBW_52210004Hxc,medium,3,165000,21852.34893059616,30932.80089974033,3480.870379219641,358.6,4.2,residential,78.17,358.6,1120.7,0.7084514034752722,2.5700000000000003,0.2113731004272348,DEBW_52210004Hxc,2.0202020202020203,MFH,residential,MFH,30932.80089974033,358.6,1120.7,78.17,0.7084514034752722,2.5700000000000003,0.2113731004272348,0.21798661461238147,False
